etiqueta,comentario
queja,acudí a ventanilla de servicios escolares a resolver una duda acerca de mi proceso de reinscripción sin embargo la persona que me atendió se encontraba revisando su celular mientras me atendía de malas seguía utilizando su celular no considero apropiada esta conducta pues ni siquiera parecía interesarle lo que le comentaba
sugerencia,muy buena la máquina pero un poco lentos los teclados ya que se les atoraban las teclas
felicitación,todo bien mejorar velocidad de internet
felicitación,gracias por prestar el servicio
queja,simplemente necesitaba una respuesta que no duraría ni 5 minutos y obviamente si hay un horario pero no costaba nada y si se hace un trámite obviamente es en horario
felicitación,todo bien por el momento
felicitación,buen servicio 1010
sugerencia,el internet intermitente no me permitió hacer mi trabajo
felicitación,felicitación por la gestión de los equipos el semestre pasado se encontraban descuidado y con máximo privilegios hoy ya se encuentran en mejor estado y cosas como la deshabilitación de cmd se felicita
sugerencia,se necesita mejorar el internet
sugerencia,muy bien servicio
felicitación,ninguna queja buena atención y el equipo en un inicio mostraba complicaciones con word pero después funcionó correctamente
felicitación,facilidad de uso
sugerencia,el mousse de la máquina 2 presenta problemas en el click izquierdo
queja,hoy 7 de marzo pusieron un aviso de que la biblioteca estaría cerrada de 2pm a 4pm ya son las 415 y aún no han abierto quiero revisar un asunto de urgencia del saes
sugerencia,la máquina dos le falla el click izquierdo al mouse lo cual complica un poco su uso
queja,no tiene internet posiblemente el cable esté trozado ya que cambie el de la 31 a la 32 y agarro el internet
sugerencia,estaría bien poner linux y windows en todas las compus
sugerencia,el servicio se llevo correctamente como unico problema mencionaria que las aplicaciones de adobe e internet explorer se quedaron congeladas y fui capaz de cerrarlas al estar bloqueado el administrador de tareas
felicitación,felicitación por el uso del equipo
felicitación,buenos equipos de cómputo
felicitación,todo muy bien
felicitación,muy bien equipo internet y cuenta con los programas que necesito
sugerencia,no tienen ubuntu
felicitación,muy buen servicio
felicitación,felicitación por mantener los equipos en buen estado
sugerencia,me gustó las computadoras están bien los periféricos pero el mouse a veces falla de la ruedita
felicitación,el servicio estuvo bien
felicitación,ha mejorado el rendimiento de más computadoras
felicitación,el trámite fue sencillo me atendieron con una buena actitud y muy comprensivos y directos totalmente satisfecho por la ayuda otorgada ya que me han ayudado a otorgar soluciones de acuerdo a mi situación
felicitación,muy buen servicio
queja,la mayoría de los horarios y días sobre las actividades deportivas están mal
felicitación,buenas maquinas y conexion a internet
felicitación,se me atendió de la mejor manera
sugerencia,agregar más programas
felicitación,felicitacion atienden bien
felicitación,muy buena atención
felicitación,quiero felicitar a yadhira de gestion escolat aue el dia de hoy me atendio en la ventanilla y fue muy amable y atenta me soluciono mi solicitud con una excelente actitud enhorabuena deseo que los demas administrativos me atendiesen como ella lo hizo
felicitación,mucha paciencia y atención increíble por su parte quedó muy agradecido con el maestro efrén
felicitación,muy buen trato
felicitación,ninguna muchas gracias
felicitación,mosso es bastante atento
felicitación,todo muy bien
felicitación,me gustaría felicitarlos por ese gran chango
felicitación,felicitación por la facilitación del proceso y eficiencia
felicitación,servicio rápido y atento
sugerencia,se deben incorporar más materias a las clases virtuales
felicitación,felicitacion buena información
felicitación,muy buen trabajo
sugerencia,poner cortinas en otros salones
sugerencia,el cambio de salones que hicieron está horrible
felicitación,pienso que está muy bien el diseño de programas
felicitación,buena actividad para integrar al grupo y los equipos
felicitación,simplemente una felicitación
sugerencia,la distribución de salones de este semestre es confusa
sugerencia,que no sea al aire libre
sugerencia,buena opción la de juntar a las carreras pasa que se puede convivir con todos
queja,muy mal cambio innecesario andar buscando salones en otros edificios y moviéndose de pisos
sugerencia,me gustó la actividad pero no me gustó que los grupos de otras carreras estén combinados
sugerencia,muy buena actividad integradora me gustó la dinámica
felicitación,estuvo padre la actividad
felicitación,felicidades por una actividad movida me obligo a hablar con alguien
felicitación,las instalaciones están muy bien cuidadas
felicitación,el proceso fue llevado a cabo de manera práctica y eficiente la descripción del taller por parte de la profesora elsa fue muy clara en general ya hecho un excelente trabajo desde que se le asignó la jefatura de formación básica
sugerencia,hay algunos contactos de luz en el edificio de ia que no sirven o que tienen falso contacto
felicitación,muy buena la administración
sugerencia,mejorar los servicios de internet sobre todo en los salones de abajo
sugerencia,pongan más cupos para los regulares
queja,errores masivos para inscripción
sugerencia,consultoria mejor guiada a los estudiantes para ser participe en las elecciones escolares
felicitación,una felicitación a la profesora por incentivar el uso de las herramientas que proporciona la institución
sugerencia,mi felicitacion es al profesor mosso que cuando tuve problemas con mi papeleo en el cambio de carrera me ayudo a completar este procedimiento
felicitación,buena actitud y disponibilidad todas las veces que he ido
felicitación,buena actitud siempre tienen buena actitud
sugerencia,hay problemas de horario al momento de la reinscripción
queja,no funciona nada bien el wifi de las palapas de ia urge lo reparen ya que se ocupa para hacer tareas trabajos y demás en clases libres ademas que cuando estamos en clases en el edificio 4 no hay internet no es posible que siendo una de las mejores escuelas de cómputo no tengamos acceso a internet es esa zona que es para trabajar
sugerencia,finalizó el semestre y no habían realizado la dispersión de fondos
queja,queja sobre las cafeterías que no ofrecen buenos productos ni alimentos por lo que muchos optan por comida fuera más costosa me gustaría que se pudiera armar como en otras escuelas un comedor comunitario no sé si sea el nombre pero para que tengan buena comida y a precio accesible únicamente para estudiantes o que se de un descuento por estudiante
sugerencia,siento que sería buena idea que dejaran inscribir materias del semestre en el que estás es dexir aunque estes cursando materias dejaran 5to te dejaran meter de 8vo si ese es tu semestre pero solo cuando sea una materia del semestre más bajo
sugerencia,muchos de mis compañeros luego se quedan sin grupo a pesar de que tienen un promedio arriba de 8 porque se acaban muy rapido los pocos lugares más en la mañana ya que hay ciertos compañeros que no tienen la posibilidad de ir en la tarde por sus trabajos también siempre que nos reinscribimos aparecen varios profesor como sin asignar al momento de hacer nuestro horario
sugerencia,dispersión de apoyo extraordinario despues del terminal el ciclo escolar
queja,específicamente en el edificio de ia la red de internet es muy deficiente muchas veces hemos tenido la necesidad de este y no nos es posible
sugerencia,el servicio de internet es intermitente no es constante y en ocasiones no funciona como debería
sugerencia,pedí constancia de estudios y de inscripción y no me deja bajarlas del saes
sugerencia,facilitar la información sobre qué cubículos están asignados y a qué profesor pertenece cada cubículo
sugerencia,deberían de verificar el sistema de citas ya que tuve un problema con mi reinscripción y no perdí cupo en una materia
queja,no parece haber un interés en las encuestas se sabe de profesores que no enseñan bien o que de plano no enseñan y pese a las múltiples encuestas la escuela sigue asignándoles muchos grupos
felicitación,fue muy rápido el proceso y fue amable la persona que me atendió incluso me ayudó ya que no tenía tanto tiempo para entregar el fua
queja,el que me atendió en gestión escolar se portó de manera grosera e incompetente tomando como prioridad su superioridad
queja,deben de haber más grupos y opciones para ia y lcd
sugerencia,me gustaría sugerir que ya que el poli tiene contratado un buen internet pero le cuesta servirlo a la comunidad de manea eficiente he observado que una de las maneras más prácticas es distribuirlo de manera más uniforme es decir tener más módems a los que conectarnos esto evita la saturación y mejora la calidad en horas pico lo ideal sería uno por salón con wifi 6 pero ya dependería del presupuesto realmente el problema es que no de puede usar cuando se necesita cuando hay muchos conectados y no se puede gestionar tantas peticiones a la vez e incluso la cobertura falla en algunos salones de ia del 1er piso siento que si no se puede cambiar el sistema a uno como la unam por lo menos se puede resolver así
felicitación,buen servicio muy amables
felicitación,buen servicio sin problemas
felicitación,buena actitud equipo funcional y rápido
sugerencia,utilizar la plataforma de microsoft 365 en lugar de google
queja,al ingresar al sismi para obtener mis pólizas y mi carta renuncia al poner buscar me aparece que no se encuentran resultados llevo mas de 2 semanas asi
queja,por medio de la presente quiero manifestar mi inconformidad respecto al servicio de casilleros que se ofrece en la escuela recientemente se aumentó el costo en 50 pesos de manera repentina y sin justificación alguna lo cual resulta injusto para los estudiantes ya que no se brindó explicación clara ni se notificó con anticipación además del incremento de precio el servicio de entrega de casilleros es deficiente el proceso resulta desorganizado lento y poco eficiente generando molestias innecesarias para quienes cumplimos puntualmente con el pago considero que como alumnos merecemos un trato justo y transparente lo mínimo que se debería garantizar es una explicación clara sobre los aumentos en el costo y una mejora real en la atención y organización al momento de asignar y entregar los casilleros solicito atentamente que se revise esta situación se brinde una respuesta sobre el aumento aplicado y se tomen las medidas necesarias para mejorar el servicio atentamente anónimo
queja,el acceso fue increíblemente tardado su plataforma no registra la salida fue aún peor no había nadie esencialmente tenían mi credencial sin manera de que la recuperara cuando volví otra vez fue lentísimo el proceso y me obligaron a llenar esta encuesta que no debería ser obligatoria
felicitación,muy buen servicio son comprometidos a cuidar el aula de uso libre y hay una muy buena administración por parte de los encargados
felicitación,solo que hacen falta algunas herramientas de programación como compiladores apropiados
sugerencia,mesa de la computadora 1 y 2 está muy floja se puede caer
sugerencia,muy buen servicio por parte de los chicos de servicio social
felicitación,un poco lento el login
felicitación,la máquina funcionó bien
felicitación,la máquina funciona bien
felicitación,muy buena atención
felicitación,muy buen servicio el espacio estuvo limpio y todas las computadoras funcionaban bien
felicitación,todo bien están bien cuidadas las instalaciones
felicitación,buen servicio y atención
felicitación,me atendieron muy rápido
felicitación,buena velocidad un poco lento el internet
felicitación,me atendieron bien
queja,las computadoras del lcd01 se reinician con pantalla azul frecuentemente
queja,las máquinas no cuentan con linux y se va a cada rato el internet
sugerencia,excelente servicio si no cuentas con una pc
felicitación,muy buena atención y resuelve todas tus dudas amablemente
felicitación,el profesor es realmente amable y busco apoyarme en todo aspecto
felicitación,muy rápido el proceso y fácil
